,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しさ,儚さ,羽,NA
58,"('音楽', '女性')",音楽,287,7,172,96,23,222,63,111,19
59,"('音楽', '女性')",女性,168,2,253,110,14,121,90,223,19
60,"('音楽', 'スカート')",音楽,107,75,77,268,188,160,56,53,16
61,"('音楽', 'スカート')",スカート,247,85,48,407,74,11,24,88,16
62,"('音楽', '夜')",音楽,129,5,167,188,13,433,27,14,24
63,"('音楽', '夜')",夜,11,2,6,9,595,28,320,5,24
64,"('音楽', '回る')",音楽,67,49,109,306,76,144,67,31,151
65,"('音楽', '回る')",回る,228,110,49,124,150,47,34,107,151
66,"('音楽', '揺れる')",音楽,234,27,54,312,19,223,30,38,63
67,"('音楽', '揺れる')",揺れる,109,10,62,52,48,70,404,182,63
68,"('音楽', '舞台')",音楽,219,85,287,181,51,121,22,14,20
69,"('音楽', '舞台')",舞台,456,26,258,41,6,23,3,167,20
70,"('回る', '踊り')",回る,302,35,111,133,119,103,24,60,113
71,"('回る', '踊り')",踊り,323,41,99,25,0,72,16,311,113
72,"('回る', '女性')",回る,132,59,27,173,201,105,45,150,108
73,"('回る', '女性')",女性,158,18,334,76,18,53,124,111,108
74,"('回る', 'スカート')",回る,174,29,60,89,124,158,82,177,107
75,"('回る', 'スカート')",スカート,59,3,12,446,3,258,50,62,107
76,"('回る', '夜')",回る,130,69,36,226,100,117,20,162,140
77,"('回る', '夜')",夜,9,20,19,55,363,36,356,2,140
78,"('回る', '音楽')",回る,145,78,27,221,117,142,48,92,130
79,"('回る', '音楽')",音楽,323,8,194,118,49,89,57,32,130
80,"('回る', '揺れる')",回る,187,29,71,162,116,155,31,87,162
81,"('回る', '揺れる')",揺れる,63,6,37,56,33,142,372,129,162
82,"('回る', '舞台')",回る,159,100,75,206,100,137,48,64,111
83,"('回る', '舞台')",舞台,342,24,330,31,13,51,9,89,111
84,"('揺れる', '踊り')",揺れる,147,16,82,69,40,122,412,64,48
85,"('揺れる', '踊り')",踊り,413,27,197,67,2,61,6,179,48
86,"('揺れる', '女性')",揺れる,43,19,37,125,41,121,389,172,53
87,"('揺れる', '女性')",女性,232,43,140,159,19,18,99,237,53
88,"('揺れる', 'スカート')",揺れる,50,4,41,32,25,118,442,233,55
89,"('揺れる', 'スカート')",スカート,55,2,6,606,21,155,32,68,55
90,"('揺れる', '夜')",揺れる,64,17,33,196,32,85,278,239,56
91,"('揺れる', '夜')",夜,24,10,9,31,507,25,321,17,56
92,"('揺れる', '音楽')",揺れる,59,20,32,102,31,130,422,114,90
93,"('揺れる', '音楽')",音楽,416,21,87,164,38,90,28,66,90
94,"('揺れる', '回る')",揺れる,56,19,36,106,18,133,395,97,140
95,"('揺れる', '回る')",回る,323,37,35,188,85,55,32,105,140
96,"('揺れる', '舞台')",揺れる,43,16,42,103,47,143,431,132,43
97,"('揺れる', '舞台')",舞台,334,212,177,44,14,14,16,146,43
98,"('舞台', '踊り')",舞台,238,71,332,55,26,13,4,258,3
99,"('舞台', '踊り')",踊り,154,137,33,94,2,501,1,75,3
100,"('舞台', '女性')",舞台,588,128,190,19,30,12,5,21,7
101,"('舞台', '女性')",女性,219,0,25,431,2,51,0,265,7
102,"('舞台', 'スカート')",舞台,695,25,178,4,21,29,6,35,7
103,"('舞台', 'スカート')",スカート,25,1,5,885,9,62,1,5,7
104,"('舞台', '夜')",舞台,600,66,192,19,19,53,4,35,12
105,"('舞台', '夜')",夜,6,3,9,9,261,45,652,3,12
106,"('舞台', '音楽')",舞台,584,40,144,77,7,46,4,71,27
107,"('舞台', '音楽')",音楽,118,5,97,444,9,223,63,14,27
108,"('舞台', '回る')",舞台,402,43,209,24,20,45,12,129,116
109,"('舞台', '回る')",回る,229,22,39,162,76,119,29,208,116
110,"('舞台', '揺れる')",舞台,217,214,148,79,52,25,11,210,44
111,"('舞台', '揺れる')",揺れる,53,28,85,70,34,112,432,142,44
